ORIGINAL_ID,INPUT_ID
WT_IL_Early_rep1,WT_t1_rep1
WT_IL_Early_rep2,WT_t1_rep2
WT_IL_Early_rep3,WT_t1_rep3
WT_IL_Mid_rep1,WT_t2_rep1
WT_IL_Mid_rep2,WT_t2_rep2
MT_IL_Early_rep1,MT_t1_rep1
MT_IL_Early_rep2,MT_t1_rep2
MT_IL_Mid_rep1,MT_t2_rep1
MT_IL_Mid_rep2,MT_t2_rep2
