Gene,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2
YalifMt53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atp9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cox2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd5-i1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd1-i2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob-i1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob-i2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob-i3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob-i4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YalifMt57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
