Gene,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2
YALI0B06732g,40.82086465,47.41569266,48.28915019,37.07389268,41.08970343,37.76393866,58.48201317,64.57252351,59.7778194
YALI0B06754g,58.06988209,71.22737477,73.24680161,134.3566091,56.55426953,37.94582935,45.21046542,48.62330383,48.51902195
YALI0B06776g,2.51825286,5.764966354,3.876173927,5.097538873,11.27671555,5.451719497,3.427024062,4.644304132,7.349811459
YALI0B06787g,2.882970446,4.693265206,3.489362392,6.562048014,13.81372876,3.624991619,5.052654331,2.658468449,11.54124654
YALI0B06809g,53.23988203,77.42318985,59.23705802,74.20399198,65.59674405,70.93546433,77.66598441,74.459231,85.95808681
YALI0B06831g,4288.893604,3820.808416,3535.91088,3038.916903,3058.854026,3667.36306,4556.202497,4818.259618,4035.657157
YALI0B06853g,15.92451026,15.72319056,18.63766871,9.357164348,16.94786677,8.013090447,7.609750866,8.444487435,11.20295251
YALI0B06875g,24.67736643,29.2657775,31.5058176,24.56143013,66.0394051,27.4171552,20.94157113,24.73130042,26.75762005
YALI0B06897g,12.61804706,15.69536191,14.77771814,14.76017215,22.38339881,15.37275292,15.54905787,19.57178106,20.02700647
YALI0B06919g,1.275574368,1.265392693,1.389486011,1.385707652,3.426819908,0.330800805,0.550155888,0.849508935,1.249734225
YALI0B06941g,101.0352484,124.8115216,105.9307499,109.879261,96.80383212,99.38419644,135.8056158,130.4344374,126.0077081
YALI0B06963g,31.50712979,42.01083461,35.71943969,45.37092794,95.23314249,65.77698333,75.46086612,71.04018468,45.32470242
YALI0B06985g,122.3087675,104.6481934,142.553274,70.42464386,54.15629533,26.82493798,27.40015701,35.56955917,71.46063504
YALI0B07007g,124.0996298,174.182831,151.5101676,198.0740352,59.64385722,110.1926374,167.9899205,168.6534701,238.8525883
YALI0B07029g,0.464792621,0.851229474,0.253149821,0,0.583789793,0.262989588,0,0.2142992,0
YALI0B07051g,0.270907699,0.744217768,0.295100362,0,0.226844034,0.613141439,0.066767218,0.249811638,0.410972508
YALI0B07073g,87.23655015,85.94541908,101.1915094,84.31237449,48.28099372,34.37700385,41.2633437,62.75298365,104.6406353
YALI0B07095g,77.64057606,77.54515454,79.58443345,68.740599,102.6482952,83.00180084,86.36194495,89.19401856,88.03274338
YALI0B07117g,932.9584261,920.0795829,1132.011101,501.960786,96.71911493,294.717181,255.4290543,267.6051745,485.1952985
YALI0B07128r,0,0,0,0,0,0,0,0,0
YALI0B07139r,0,0,0,0,0,0,0,0,0
YALI0B07161g,47.40884733,44.33486842,44.04806878,66.07276628,120.0661008,42.64814486,27.75967093,34.57360421,34.37361973
YALI0B07183g,1680.027696,1556.533416,1164.6008,2206.30741,927.4259334,1173.960671,1323.081797,1874.783892,1483.56626
YALI0B07205g,130.5461013,89.34208475,82.14161352,107.0561966,101.977078,62.68871375,75.3550304,101.6896289,161.8204252
YALI0B07227g,43.66604359,43.76422302,41.0840636,51.94894298,58.74296163,38.82556812,42.2431052,46.07693074,40.69168586
YALI0B07249g,114.8304458,81.13193704,87.1997382,110.4823305,40.51118353,36.16969096,68.09435322,79.67011884,99.47976957
YALI0B07271g,17.10319176,31.04832567,21.57221003,31.2924361,39.94895725,31.74850254,20.26258291,16.41694628,27.76665523
YALI0B07293g,31.65197096,39.74224137,37.79091374,33.03343898,56.24806149,52.24215326,41.38886215,37.59920068,38.16173292
YALI0B07315r,0,0,0,0,0,0,0,0,0
YALI0B07359g,210.0360606,224.3241769,239.9489836,159.4540946,141.5700419,112.3936861,200.1795187,178.523927,195.337238
YALI0B07381g,36.83302754,49.94846176,40.46279967,46.11745286,42.35876096,47.19420407,64.40468562,66.13602992,57.02243554
YALI0B07403g,48.99670346,56.70654527,39.90561717,83.64256416,35.61397065,66.48477451,31.92207777,31.65476024,38.0247889
YALI0B07425g,218.4549781,172.0513972,202.7650121,220.8783268,227.3216004,146.9724233,199.8623958,233.7711016,230.3338683
YALI0B07447g,314.9066838,345.455078,296.1378245,383.5580586,558.2834497,381.0678038,276.2841388,263.9466691,233.3972452
YALI0B07469r,0,0,0,0,0,0,0,0,0
YALI0B07513g,34.73519507,29.38954038,30.39113725,15.22481767,16.92556893,10.14234969,16.51414419,14.08539838,16.28885468
YALI0B07535g,26.54411307,31.00785573,28.13363529,27.55719637,21.15859661,19.75520766,28.60487516,39.32129383,85.61355566
YALI0B07557g,98.3802092,121.0787819,133.4845834,92.48552847,92.5514917,71.58485375,103.5599431,116.7753088,118.7237416
YALI0B07579g,39.48953649,56.372816,49.39850167,60.88578677,40.61621946,48.42718769,63.73594104,74.40777808,89.10878943
YALI0B07601g,58.14604272,35.47135502,27.89058302,103.0555402,70.05884342,60.19254375,81.66770683,109.9272758,154.8038214
YALI0B07623g,29.65540828,29.5067869,29.87550477,78.55357337,47.59724945,57.35491567,70.3115986,89.03690911,99.42618903
YALI0B07645g,15.70775062,13.59916002,11.19959206,41.83994397,14.30871128,4.282294316,3.308194986,8.427380573,12.6726839
YALI0B07667g,70.81770461,78.48930121,76.62674619,101.2061893,76.37601032,48.19792472,46.21257192,63.19528417,64.61159121
YALI0B07689g,14.79181055,15.14862795,12.09308048,20.69403516,41.03318286,10.97062107,8.293052203,9.227870548,7.187274821
YALI0B07711g,23.22457703,17.13659335,24.14864807,78.16171238,18.32201813,29.81152014,34.86357059,45.60495194,44.76813382
YALI0B07733g,0,0,0,0,0,0,0,0,0
YALI0B07755g,64.66281848,92.84085599,67.07498218,109.8089868,133.441287,253.7173391,218.6069065,175.5979806,150.7442358
YALI0B07766g,0,0,0,0,0,0,0,0,0
YALI0B07777g,0,0,0,0,0,0,0,0,0
YALI0B07876g,0,0,0,0,0,0,0,0,0
YALI0B07898g,0,0,0,0,0.501973099,0,0,0.092132849,0
YALI0B07920g,0,0,0.832944571,0,0,0,0,0,0
YALI0B07942g,0,0,0,0,0,0,0,0,0
YALI0B08008g,200.0995043,198.4860077,185.4014551,236.2337285,91.55506957,152.4913141,163.1586294,206.1133563,192.5970826
YALI0B08030g,73.63097531,77.21197204,76.01495555,59.21344741,39.77726047,45.8281756,52.14600003,53.38326194,51.1656655
YALI0B08052g,0.20493738,0,0,0.42406039,0.457610443,0,0.269377825,0.167980929,0.362709887
YALI0B08074g,170.0397324,222.7795217,202.1806357,312.3481828,275.8990563,238.2054492,183.5208264,168.2134424,102.9058037
YALI0B08096g,30.11539279,31.12888147,35.29886578,40.29874803,17.97674525,7.788376879,14.93726822,20.81527089,32.30278942
YALI0B08118g,199.4712498,258.5847941,252.3199934,145.0729951,57.56990966,129.115884,169.3490919,189.8032895,210.1651165
YALI0B08140g,144.5414271,248.0120248,151.3974368,558.5912302,768.1351031,746.7496894,735.6521613,863.2407056,862.5506256
YALI0B08162g,0,0,0,0,0,0,0,0,0
YALI0B08184g,308.8194113,391.1310297,377.4503587,356.547312,714.4201461,653.2317139,664.6367763,549.0188416,561.4607073
YALI0B08206g,73.58727638,123.7578152,76.21038482,113.8618617,30.39957822,70.90378024,66.56059609,63.45336884,111.1533503
YALI0B08228g,38.57934724,46.10778707,39.77170571,54.90927466,33.10362392,36.50171929,41.13017461,40.66075619,31.67625772
YALI0B08250g,227.5169443,251.2755843,265.0134838,185.2583146,207.7731098,238.848659,241.0580489,229.4594717,175.7802424
YALI0B08272g,71.46870065,79.03916024,76.42146349,41.14060762,20.90196397,35.75111399,68.48837979,90.91328398,114.0602766
YALI0B08294g,25.35232478,24.60827024,20.29801289,32.41998377,16.13382702,27.61390674,30.17913956,34.83336081,30.19109537
YALI0B08316g,268.3139019,225.9923696,229.4614608,328.3195843,266.4814091,183.3037428,226.4758239,322.658602,263.7073595
YALI0B08338g,56.50302903,43.91180598,62.91772814,29.72427697,58.38444809,14.0492543,10.15190076,17.03571419,23.85600477
YALI0B08349r,0,0,0,0,0,0,0,0,0
YALI0B08360g,6.549906539,5.597953828,6.72712339,16.72851283,23.4529868,7.482745857,5.995871875,6.634252064,8.706128138
YALI0B08382g,45.61723391,48.33449217,42.18476836,40.2093076,42.81351426,42.88870898,34.84899413,41.0906256,39.9324305
YALI0B08404g,27.93278032,27.80759634,26.93787767,20.44177381,7.993186738,20.22745323,22.64220722,24.41852502,16.13344779
YALI0B08426g,0.8268985,0.504798874,2.401979693,1.197724056,0.923202464,0.701815238,1.358635249,1.44028997,2.717914118
YALI0B08448g,34.82127929,25.66736464,46.64793592,2.577791921,0.072441069,0.709783943,1.471193717,4.201515695,34.02428648
YALI0B08470g,60.43756548,61.24862072,59.99650748,82.50079305,74.43319865,57.6686856,89.07102802,106.828151,116.8372555
YALI0B08492g,20.40067124,17.09280647,21.95258793,21.53399348,16.11422558,14.90793591,17.01749823,22.64552657,23.36779659
YALI0B08514g,59.10302967,76.18929403,60.59394106,67.39422161,137.6848768,87.44929781,57.60341728,74.12466449,85.04562345
YALI0B08536g,283.7896014,351.7754534,255.6503997,272.6561562,192.4783173,276.1330447,371.815254,445.8099513,1567.695417
YALI0B08558g,82.36860885,105.252381,127.7441346,71.70423921,47.55156863,20.77806946,21.57525808,24.46197099,31.86392065
YALI0B08580r,0,0,0,0,0,0,0,0,0
YALI0B08624g,33.74621617,44.6505399,53.11506012,44.89391758,103.4080772,49.14263077,34.00572714,38.58258502,38.92625299
YALI0B08646r,0,0,0,0,0,0,0,0,0
YALI0B08690g,219.8789643,197.7523478,207.6387204,159.3268001,42.50392309,48.23863847,49.35593913,32.66215387,25.35806663
YALI0B08712g,92.17634459,105.9269957,98.78484628,70.29515816,82.1175403,100.1336613,149.0244305,159.0883784,228.2438568
YALI0B08734g,92.32873017,81.12748902,87.40503855,94.24890598,258.0847108,166.9517077,110.1826014,133.1912386,122.7587725
YALI0B08748g,1190.627455,954.6986562,1059.57856,1598.502337,1876.935395,1155.825398,704.1305945,1020.319845,795.5382306
