Gene,WT_NoIL_Shock_rep1,WT_NoIL_Shock_rep2,WT_NoIL_Shock_rep3,WT_NoIL_Early_rep1,WT_NoIL_Early_rep2,WT_NoIL_Mid_rep1,WT_NoIL_Mid_rep2,WT_IL_Shock_rep1,WT_IL_Shock_rep2,WT_IL_Shock_rep3,WT_IL_Early_rep1,WT_IL_Early_rep2,WT_IL_Early_rep3,WT_IL_Mid_rep1,WT_IL_Mid_rep2,MT_NoIL_Shock_rep1,MT_NoIL_Shock_rep2,MT_NoIL_Shock_rep3,MT_NoIL_Early_rep1,MT_NoIL_Early_rep2,MT_NoIL_Early_rep3,MT_NoIL_Mid_rep1,MT_NoIL_Mid_rep2,MT_IL_Shock_rep1,MT_IL_Shock_rep2,MT_IL_Early_rep1,MT_IL_Early_rep2,MT_IL_Mid_rep1,MT_IL_Mid_rep2
YALI0E18282g,195.2060986,212.0203075,250.9941174,219.9550474,179.5600673,195.4702303,155.3878636,157.4311159,139.3697652,127.8340664,102.8641504,82.64344866,86.70265231,88.28937328,260.7058823,282.900863,310.6197425,305.2748457,215.2082125,223.7574964,216.7607465,175.5555833,240.0929246,98.09372562,85.98827634,112.057692,78.57398974,91.35568327,82.58725063
YALI0E18304g,38.60083305,46.08657823,37.49059423,42.98444994,40.49462791,43.03537328,36.44649293,46.54496396,43.97585486,46.07843324,30.58204518,37.42052722,30.18544199,62.59011909,42.77288035,47.61724563,51.98643098,46.489942,31.65714765,40.74892393,46.28722066,35.92335879,39.05792784,62.57347916,56.54004785,31.39651191,30.97152568,30.70454786,35.65620636
YALI0E18326g,15.39345599,14.12061897,16.37182796,23.01641415,22.79146679,27.84761726,25.52197228,35.23200063,40.1404426,37.16633154,27.39524402,35.27282131,39.12830187,73.63901675,31.77557603,28.00329669,25.67825322,28.51649538,30.01679331,33.13268425,36.75913755,28.77687256,39.42253783,43.89334593,44.25064139,52.76747668,42.22733696,40.42547621,39.94251723
YALI0E18348g,4.069728599,1.763573349,3.265414346,9.244338674,7.382138384,28.30744078,84.15914246,529.756748,435.1241,196.9374196,104.9111912,145.2925146,62.05437054,258.8872268,40.01784874,7.258492704,6.592730087,5.759188424,24.63313619,9.561273264,7.063773666,33.78168711,17.02086352,2424.012689,2795.028132,303.6409915,166.9341982,134.8647079,245.3406446
YALI0E18370r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YALI0E18414g,70.47911712,73.54603884,76.47998644,55.4020704,58.2968531,123.0987319,118.2338901,108.4507449,108.9820273,99.69022682,83.21848571,92.17179832,90.31088673,127.1908213,86.46799169,69.39294826,78.47267277,81.36939542,74.54135132,75.61057176,75.59491616,85.18471763,93.44525575,168.2242885,196.4384003,57.57010499,82.25030556,101.0732146,129.3441494
YALI0E18436g,15.54372371,17.84708304,15.89895605,17.41085948,20.12213885,30.8324309,23.93698712,23.38375104,21.51507195,23.66924261,38.17696344,40.67954615,44.91315177,33.82486971,14.7631293,18.75796966,18.53881013,17.84504528,20.94457697,26.36445626,22.45545888,18.63442499,21.20148282,38.45232292,31.85821701,18.45932774,28.24409728,36.526875,59.04721224
YALI0E18458g,23.81937834,16.13199471,16.81231687,25.43560641,24.59218828,44.25301407,37.84211941,28.00821968,28.64482289,32.98507925,38.68249356,50.21084623,42.13692673,24.41702448,10.79690354,13.75424545,14.26890561,13.67165652,52.24901165,45.39814909,40.53537832,37.3801535,41.61981527,26.38117507,24.00876388,19.01328021,22.21293982,30.50584431,38.23229825
YALI0E18480g,77.5873768,83.96638152,77.48727187,104.5405428,110.213148,132.0911397,182.0002251,71.55499595,90.50545104,80.18397043,77.41763899,99.2488288,89.82509698,187.8497304,88.05289032,68.64101731,74.67471781,73.13079018,228.6239554,198.0926234,196.5690046,219.9420947,213.46472,94.27973286,93.57479054,150.5050244,121.4914765,126.4073466,110.0225869
YALI0E18502g,218.8205272,177.173804,188.5281242,44.22015353,46.93277468,32.12738571,42.41444349,31.36367398,30.45778636,31.8340433,41.63276941,45.40474175,19.36596128,51.50213441,192.3328728,222.0759961,234.6311037,222.1675961,134.7336064,124.0531561,128.5835312,120.5063809,119.4447722,30.66303653,40.07822956,85.3983785,74.72751838,63.7770694,37.61016211
YALI0E18524g,17.5549212,18.6086842,20.9315245,21.23274956,23.25462418,21.48085972,16.93383066,35.12643245,32.93275957,35.09253252,33.50613014,35.26283373,37.22700122,38.92676663,25.08505345,22.65662796,24.3978758,24.90742579,26.30323455,39.63471945,39.14034993,26.55871029,30.47769613,34.42481076,33.2149375,38.93730261,36.75883521,41.80385761,35.76154181
YALI0E18546g,18.93024759,16.77295714,25.40997459,6.21478056,6.416074756,11.09125949,18.81604246,293.2573586,227.8759791,200.1168192,37.32562234,37.09518292,32.75834246,78.62585979,28.58827331,17.84153757,17.31599682,21.61133933,42.24111638,22.3151101,26.91170582,58.75636069,39.61819895,73.60494908,76.4851453,34.53210299,7.934835416,23.05475569,34.88665883
