Gene,FC_t1,FC_t2,Z,Class,Feature
RPR1_1,0.0,0.0,0.0,no_change,
RPR1_2,0.0,0.0,0.0,no_change,
SCR1,0.0,0.0,0.0,no_change,
SNR14,0.0,0.0,0.0,no_change,
SNR17_1,0.0,0.0,0.0,no_change,
SNR17_2,0.0,0.0,0.0,no_change,
SNR17_3,0.0,0.0,0.0,no_change,
SNR20,0.0,0.0,0.0,no_change,
SNR6,0.0,0.0,0.0,no_change,
SNR7,0.0,0.0,0.0,no_change,
SRN19_1,0.0,0.0,0.0,no_change,
SRN19_2,0.0,0.0,0.0,no_change,
YALI0A00110g,0.0,0.0,0.0,no_change,
YALI0A00132g,0.24279441087774808,0.5097838270570009,0.27497115768810876,no_change,
YALI0A00154g,2.8526744217120124,8.025672545710462,2.142441099673996,case_overexpressed,
YALI0A00176g,0.0,0.0,0.0,no_change,
YALI0A00198g,0.0,0.0,0.0,no_change,
YALI0A00212g,-0.7099461072106172,-0.3090551888606313,0.4181500296925578,no_change,
YALI0A00220r,0.0,0.0,0.0,no_change,
YALI0A00264g,0.7905944548252382,0.8811786919013224,0.12474200826196545,no_change,
YALI0A00286g,-0.6920261218500219,-1.1201265224876107,-0.42192799900333183,no_change,
YALI0A00297g,0.0,0.0,0.0,no_change,
YALI0A00308t,0.0,0.0,0.0,no_change,
YALI0A00330g,-1.535967931100228,-1.3350791307866368,0.24653514965318743,control_overexpressed,
YALI0A00352g,-0.19003505997544984,0.40449147802999913,0.5830921429562045,no_change,
YALI0A00369g,0.0,0.0,0.0,no_change,
YALI0A00374g,0.0,0.0,0.0,no_change,
YALI0A00396g,-2.025953625617558,0.8305675141820881,2.7969873861152394,changed_regulation,
YALI0A00418g,0.27860779595920093,0.3905844830756654,0.09837028570813748,no_change,
YALI0A00440g,-0.2847468815497143,0.34163221257991194,0.6194272858483507,no_change,
YALI0A00462r,0.0,0.0,0.0,no_change,
YALI0A00506g,0.5580862584774363,0.5591351818392089,0.001138104132046912,no_change,
YALI0A00528g,0.0,0.0,0.0,no_change,
YALI0A00550g,-0.8118363190477788,0.0,0.8118363190477788,no_change,
YALI0A00572g,0.0,0.0,0.0,no_change,
YALI0A00594g,0.37368694614340525,0.4539763602079801,0.1259437995412783,no_change,
YALI0A00616g,-0.0958666488830831,0.32310285147454293,0.4019570601173941,no_change,
