Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0D20966g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
YALI0D17930g,case_overexpressed,,0.0006112469437652812,0.0,2.9088091753602407e-31,lightblue,circle,30,2
YALI0E19987g,changed_regulation,,0.003667481662591687,0.0012714755044691487,1.2203252684673983e-10,green,circle,30,2
YALI0D19118g,changed_regulation,,0.0012224938875305623,0.0,0.009381844588268386,green,circle,30,2
YALI0E15532g,control_upregulated,,0.0018337408312958435,0.0010108940280986669,0.0024984041560896834,red,circle,30,2
YALI0D19822g,control_upregulated,,0.0,0.0,3.040391144120668e-43,red,circle,30,2
YALI0E24365g,changed_regulation,,0.0006112469437652812,0.0,0.0004419794430503376,green,circle,30,2
YALI0F04169g,changed_regulation,,0.0,0.0,3.040391144120668e-43,green,circle,30,2
YALI0D20086g,control_upregulated,Transcription_Factor,0.0018337408312958435,0.009044211659675647,0.00022190240537093965,red,roundrectangle,80,15
YALI0F01188g,control_upregulated,,0.003056234718826406,0.008047150131221821,8.527263823805255e-06,red,circle,30,2
YALI0D20174g,changed_regulation,,0.0006112469437652812,0.0,4.495266605319125e-12,green,circle,30,2
YALI0D20262g,case_upregulated,,0.0006112469437652812,0.0,3.5903173198847334e-13,darkblue,circle,30,2
YALI0D20306g,control_upregulated,,0.0,0.0,3.040391144120668e-43,red,circle,30,2
YALI0D20526g,changed_regulation,,0.0018337408312958435,0.002021040353513829,2.6122600945638006e-12,green,circle,30,2
YALI0D27038g,changed_regulation,,0.0006112469437652812,0.0,1.7420898854838536e-13,green,circle,30,2
YALI0E33429g,changed_regulation,,0.0006112469437652812,0.0,1.7420898854838536e-13,green,circle,30,2
YALI0F00242g,changed_regulation,,0.0012224938875305623,0.0010108940280986669,0.0003976154010729954,green,circle,30,2
YALI0D21076g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0D21098g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
YALI0F20702g,case_upregulated,,0.0006112469437652812,0.0,4.775193420896929e-10,darkblue,circle,30,2
