Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0C00671g,2,0.0,0.0,5.616542264280526e-23,changed_regulation,green,,circle,30
YALI0B19492g,2,0.0,0.001694915254237288,1.472342855327554e-17,downregulated,darkblue,,circle,30
YALI0E23474g,2,0.0,0.001694915254237288,1.472342855327554e-17,lowly_expressed,lightblue,,circle,30
YALI0E25850g,2,0.0,0.0,5.616542264280526e-23,upregulated,red,,circle,30
YALI0C05687g,2,0.0,0.0,5.616542264280526e-23,highly_expressed,orange,,circle,30
YALI0C10311g,2,0.00022881150388272487,0.01694915254237288,6.721645923340168e-07,upregulated,red,,circle,30
YALI0E00308g,2,0.0005626148476713928,0.01694915254237288,6.76517713132007e-07,downregulated,darkblue,,circle,30
YALI0F03795g,2,0.0,0.003389830508474576,9.119717347627149e-07,upregulated,red,,circle,30
YALI0D19338g,2,0.00013237029150240282,0.010169491525423728,4.820234203283974e-07,highly_expressed,orange,,circle,30
YALI0E19294g,2,3.724456027986861e-05,0.011864406779661017,5.798450668891547e-07,highly_expressed,orange,,circle,30
YALI0E31108g,2,0.0,0.001694915254237288,1.539284110681671e-08,highly_expressed,orange,,circle,30
YALI0B20328g,2,0.00013237029150240282,0.003389830508474576,1.0261930088774233e-07,highly_expressed,orange,,circle,30
YALI0C02981g,2,0.0004062644308968156,0.01694915254237288,6.687347993860986e-07,highly_expressed,orange,,circle,30
YALI0B20394g,2,0.0,0.001694915254237288,1.472342855327554e-17,upregulated,red,,circle,30
YALI0D21978g,2,0.0,0.001694915254237288,1.472342855327554e-17,changed_regulation,green,,circle,30
YALI0F16918g,2,2.302092026128745e-06,0.010169491525423728,5.439100384064137e-07,changed_regulation,green,,circle,30
YALI0C04565g,2,2.621827029757737e-06,0.00847457627118644,0.0703876410500228,lowly_expressed,lightblue,,circle,30
YALI0B20790g,2,0.0,0.001694915254237288,1.472342855327554e-17,lowly_expressed,lightblue,,circle,30
YALI0F30591g,2,0.0,0.001694915254237288,1.472342855327554e-17,lowly_expressed,lightblue,,circle,30
YALI0B20834g,2,0.0,0.001694915254237288,4.5630069763118326e-09,upregulated,red,,circle,30
YALI0E33913g,2,0.001243129694109522,0.003389830508474576,3.7364137682265865e-08,changed_regulation,green,,circle,30
YALI0C22572g,2,0.0,0.001694915254237288,3.7210204703965297e-16,upregulated,red,,circle,30
YALI0D00451g,2,0.0005342598338085927,0.006779661016949152,3.0586701004275924e-06,changed_regulation,green,,circle,30
YALI0E02024g,2,0.0,0.003389830508474576,7.364094369038159e-07,upregulated,red,,circle,30
YALI0E16555g,2,9.892641418352912e-05,0.006779661016949152,6.546407083720102e-07,upregulated,red,,circle,30
YALI0B21428g,2,0.0,0.001694915254237288,3.7210204703965297e-16,upregulated,red,,circle,30
YALI0E11385g,2,0.0,0.001694915254237288,3.7210204703965297e-16,changed_regulation,green,,circle,30
YALI0D02497g,2,0.0,0.0,5.616542264280526e-23,changed_regulation,green,,circle,30
YALI0C18645g,15,0.0,0.001694915254237288,4.73208110969018e-08,lowly_expressed,lightblue,Transcription_Factor,roundrectangle,80
YALI0B21846g,2,0.0,0.001694915254237288,1.472342855327554e-17,lowly_expressed,lightblue,,circle,30
YALI0B21868g,2,0.0,0.001694915254237288,1.472342855327554e-17,lowly_expressed,lightblue,,circle,30
YALI0B22110g,2,0.0,0.0,5.616542264280526e-23,upregulated,red,,circle,30
YALI0F05038g,2,0.00010619629220532791,0.013559322033898305,1.2251859132461414e-06,lowly_expressed,lightblue,,circle,30
YALI0D17446g,2,0.0,0.0,5.616542264280526e-23,changed_regulation,green,,circle,30
YALI0F19492g,2,0.0,0.0,5.616542264280526e-23,highly_expressed,orange,,circle,30
YALI0D18403g,2,0.0,0.003389830508474576,8.218964020922532e-09,upregulated,red,,circle,30
YALI0C11341g,2,0.0018589393110989613,0.006779661016949152,8.203786042320191e-08,highly_expressed,orange,,circle,30
YALI0C01859g,2,0.0,0.001694915254237288,4.427439297655824e-08,lowly_expressed,lightblue,,circle,30
YALI0F02607g,2,0.0001692037639204627,0.006779661016949152,3.0895596493154556e-07,lowly_expressed,lightblue,,circle,30
YALI0F26587g,2,0.0005544684565432169,0.010169491525423728,7.905384468652518e-07,lowly_expressed,lightblue,,circle,30
YALI0C02607g,2,0.0,0.0,5.616542264280526e-23,highly_expressed,orange,,circle,30
YALI0C13420g,2,0.007803099939185029,0.011864406779661017,2.3440428069338983e-06,changed_regulation,green,,circle,30
YALI0D05041g,15,0.00579360072472496,0.010169491525423728,8.873177394048947e-07,changed_regulation,green,Transcription_Factor,roundrectangle,80
YALI0C02717g,2,0.0,0.001694915254237288,1.472342855327554e-17,highly_expressed,orange,,circle,30
YALI0C16005g,2,0.0,0.001694915254237288,1.472342855327554e-17,highly_expressed,orange,,circle,30
YALI0E05819g,2,0.00017114957979969062,0.011864406779661017,5.467637674416754e-07,highly_expressed,orange,,circle,30
YALI0F18964g,2,1.1510460130643722e-05,0.005084745762711864,2.2123675484441042e-07,upregulated,red,,circle,30
YALI0C03465g,2,0.04059786563015861,0.003389830508474576,1.1446868955432148e-06,changed_regulation,green,,circle,30
YALI0E28259g,2,0.04106403926544968,0.00847457627118644,9.227528870594684e-06,upregulated,red,,circle,30
YALI0C03784g,2,5.947071067499256e-06,0.005084745762711864,3.393456064537532e-07,lowly_expressed,lightblue,,circle,30
YALI0F05104g,15,1.9184100217739534e-06,0.005084745762711864,2.1905484686216535e-07,lowly_expressed,lightblue,Transcription_Factor,roundrectangle,80
YALI0C04158g,2,0.0,0.0,5.616542264280526e-23,highly_expressed,orange,,circle,30
YALI0C15323g,2,0.0,0.0,5.616542264280526e-23,changed_regulation,green,,circle,30
YALI0C04411g,2,0.0,0.0,5.616542264280526e-23,highly_expressed,orange,,circle,30
YALI0C05324g,2,0.0,0.001694915254237288,1.472342855327554e-17,changed_regulation,green,,circle,30
YALI0F28149g,2,0.0,0.0,5.616542264280526e-23,downregulated,darkblue,,circle,30
YALI0D10234g,2,0.0,0.0,5.616542264280526e-23,lowly_expressed,lightblue,,circle,30
YALI0C06193g,2,0.0,0.001694915254237288,1.472342855327554e-17,changed_regulation,green,,circle,30
YALI0F10923g,2,0.0,0.001694915254237288,1.472342855327554e-17,changed_regulation,green,,circle,30
YALI0E04620g,2,0.0,0.001694915254237288,3.938015050473252e-09,lowly_expressed,lightblue,,circle,30
YALI0C06347g,2,0.0013567931935958046,0.006779661016949152,1.7466947395414286e-06,changed_regulation,green,,circle,30
YALI0F16159g,2,0.0,0.001694915254237288,4.5630069763118326e-09,changed_regulation,green,,circle,30
YALI0E30481g,2,0.0016970578940018665,0.003389830508474576,6.440204871440458e-09,upregulated,red,,circle,30
YALI0E32035g,2,0.0,0.0,5.616542264280526e-23,upregulated,red,,circle,30
YALI0E24211g,2,0.0,0.001694915254237288,7.201223041736943e-15,lowly_expressed,lightblue,,circle,30
YALI0C08723g,2,0.0,0.001694915254237288,0.0017226458525820727,lowly_expressed,lightblue,,circle,30
YALI0D07304g,2,0.0,0.0,5.616542264280526e-23,highly_expressed,orange,,circle,30
YALI0E09493g,2,0.0,0.0,5.616542264280526e-23,highly_expressed,orange,,circle,30
YALI0F00858g,2,0.00032312317770459483,0.003389830508474576,1.0725443989312986e-07,changed_regulation,green,,circle,30
YALI0F16896g,2,0.0,0.003389830508474576,1.3401029506348478e-07,upregulated,red,,circle,30
YALI0F05940g,2,0.0,0.003389830508474576,2.175963550516728e-14,changed_regulation,green,,circle,30
YALI0F05610g,2,0.0,0.0,5.616542264280526e-23,highly_expressed,orange,,circle,30
YALI0D10813g,2,0.0,0.001694915254237288,1.1835684219578008e-08,upregulated,red,,circle,30
YALI0E19899g,2,0.0,0.001694915254237288,3.7210204703965297e-16,lowly_expressed,lightblue,,circle,30
YALI0F25113g,15,0.0,0.0,5.616542264280526e-23,downregulated,darkblue,Transcription_Factor,roundrectangle,80
YALI0C13002g,15,0.0,0.001694915254237288,2.1554183197251995e-08,lowly_expressed,lightblue,Mutated_Gene,diamond,80
