Gene,MT_t1_rep1,MT_t1_rep2,MT_t1_rep3,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t2_rep1,WT_t2_rep2
YALI0E26851g,170.52445790000002,143.6428216,187.3116275,138.15399109999998,175.2055752,156.85768819999998,168.8475043,131.1511102,96.1170661
YALI0E26873g,50.16293568,70.03502593,73.87477727,40.04016443,55.45957671,48.46399897,25.92672675,32.87828901,31.93971125
YALI0E26895g,105.5775483,115.52835379999999,101.7630856,100.5246552,117.9641315,81.00631037,129.7797526,145.6894876,129.84192620000002
YALI0E26917g,70.61676700000001,86.66025114,81.47696679,84.64479204,73.15887576,97.44569306,155.02182230000003,195.553608,231.70206000000002
YALI0E26939g,63.15477074,63.06676693,65.1004954,63.14331941,58.07905815,50.27843566,43.73617624,46.42446705,36.54960423
YALI0E26961g,84.00499966,109.47683329999998,95.08200946,90.91119738,80.96346643,101.5344813,102.4259682,115.70247659999998,82.89242269
YALI0E26983g,34.42384701,44.08370147,43.24167495,43.84623845,36.72253909,29.39484536,47.14216388,54.16764222,48.85454442
YALI0E27005g,1334.098127,1192.1989800000001,1232.579048,904.1973082999999,1317.071326,709.5236616000001,917.3382062000001,873.5042553999999,923.4465349999999
YALI0E27027g,54.6019764,57.62108697,60.10280966,62.04877332,57.04883458,80.41271917,112.7855956,101.1293797,138.8459204
YALI0E27049g,12.55039957,14.66932556,15.36821703,13.49945235,9.98066995,31.90399355,33.88927935,37.65714828,35.64487626
YALI0E27071g,3087.747891,3016.6889920000003,2837.866398,3391.053092,2860.141966,3155.522838,2851.099305,2793.206382,2235.733255
YALI0E27093g,9.55156224,11.77208843,8.500247748,7.577416737999999,8.392473038,14.11377456,15.73175299,20.03300666,28.752406699999998
YALI0E27115g,12.21168375,14.13232855,12.07794584,9.882220875,11.22012568,8.323041553,14.01131764,22.57644314,22.05100133
YALI0E27137g,63.2316892,71.27238212,70.48823879999999,63.80985343,67.45691923,51.60195058,41.43516112,48.04173283,28.42007467
YALI0E27159g,0.8805537529999999,1.91699057,1.5334522659999998,1.249024737,1.4040883080000002,1.3866723730000001,0.603999342,0.675367175,0.512799921
