Gene,Class,Feature
YALI0A06501g,no_change,
YALI0A06523g,no_change,
YALI0A06545r,no_change,
YALI0A06589g,lowly_expressed_gene,
YALI0A06611g,no_change,
YALI0A06633g,lowly_expressed_gene,
YALI0A06644r,no_change,
YALI0A06655g,no_change,
YALI0A06677g,no_change,
YALI0A06699g,no_change,
YALI0A06721g,no_change,
YALI0A06743g,changed_regulation,
YALI0A06754r,no_change,
YALI0A06765g,no_change,
YALI0A06787g,lowly_expressed_gene,
YALI0A06809g,no_change,
YALI0A06831g,no_change,
YALI0A06886g,no_change,
YALI0A06908g,highly_expressed_gene,
YALI0A06930g,no_change,
YALI0A06952g,no_change,
YALI0A06974g,no_change,
YALI0A06996g,no_change,
YALI0A07018g,no_change,
YALI0A07040r,no_change,
YALI0A07062g,no_change,
YALI0A07084g,no_change,
YALI0A07106g,no_change,
YALI0A07128g,no_change,
YALI0A07142g,no_change,
YALI0A07150r,no_change,
YALI0A07194r,no_change,
YALI0A07238g,changed_regulation,
YALI0A07249g,no_change,
YALI0A07260r,no_change,
YALI0A07271r,no_change,
YALI0A07293r,no_change,
YALI0A07315r,no_change,
YALI0A07359r,no_change,
YALI0A07403g,no_change,
YALI0A07425g,no_change,
YALI0A07447g,no_change,
YALI0A07469r,no_change,
YALI0A07513r,no_change,
YALI0A07557g,no_change,
YALI0A07579g,no_change,
YALI0A07601g,no_change,
YALI0A07623g,downregulated,
YALI0A07645g,no_change,
YALI0A07667g,no_change,
YALI0A07689g,no_change,
YALI0A07711g,no_change,
YALI0A07733g,no_change,
YALI0A07755g,highly_expressed_gene,
YALI0A07777g,no_change,
YALI0A07799g,no_change,
YALI0A07821g,no_change,
YALI0A07843g,no_change,
YALI0A07865g,no_change,
YALI0A07887g,highly_expressed_gene,
YALI0A07909r,no_change,
YALI0A07953r,no_change,
YALI0A07997g,lowly_expressed_gene,
YALI0A08019g,lowly_expressed_gene,
YALI0A08041g,no_change,
YALI0A08063g,no_change,
YALI0A08077g,no_change,
YALI0A08107g,no_change,
YALI0A08129g,no_change,
YALI0A08151g,highly_expressed_gene,
YALI0A08165g,lowly_expressed_gene,
YALI0A08195g,no_change,
YALI0A08206r,no_change,
YALI0A08217g,no_change,
YALI0A08239g,highly_expressed_gene,
YALI0A08261g,no_change,
YALI0A08283r,no_change,
YALI0A08327g,no_change,
YALI0A08338g,no_change,
YALI0A08360g,no_change,
YALI0A08371g,no_change,
YALI0A08382g,no_change,
YALI0A08404g,no_change,
YALI0A08426g,no_change,
YALI0A08448g,downregulated,
YALI0A08470g,no_change,
YALI0A08492r,no_change,
YALI0A08536g,downregulated,
YALI0A08558g,no_change,
YALI0A08580g,no_change,
YALI0A08602r,no_change,
YALI0A08624g,no_change,
YALI0A08646g,no_change,
YALI0A08668g,no_change,
YALI0A08690r,no_change,
YALI0A08734g,no_change,
YALI0A08756r,no_change,
YALI0A08800g,no_change,
YALI0A08822r,no_change,
YALI0A08866g,no_change,
YALI0A08888g,no_change,Mutated_Gene
YALI0A08902r,no_change,
YALI0A08917t,no_change,
YALI0A08932g,no_change,
YALI0A08946t,no_change,
YALI0A08961r,no_change,
YALI0A08976r,no_change,
YALI0A08998g,no_change,
YALI0A09020g,no_change,
YALI0A09042g,no_change,
YALI0A09064g,downregulated,
YALI0A09086g,no_change,
YALI0A09108g,no_change,Mutated_Gene
YALI0A09130r,no_change,
YALI0A09152r,no_change,
YALI0A09196g,no_change,
YALI0A09218r,no_change,
YALI0A09262g,no_change,
YALI0A09284g,no_change,
YALI0A09300t,no_change,
YALI0A09317g,no_change,
YALI0A09350t,no_change,
YALI0A09361g,no_change,
YALI0A09383g,changed_regulation,
YALI0A09405g,downregulated,
YALI0A09427g,no_change,
YALI0A09438g,no_change,
YALI0A09443g,no_change,
YALI0A09449g,downregulated,
YALI0A09471g,no_change,
YALI0A09515g,no_change,
YALI0A09537g,downregulated,
YALI0A09559g,changed_regulation,
YALI0A09592g,changed_regulation,
YALI0A09614g,no_change,
YALI0A09636g,no_change,
YALI0A09658g,downregulated,
YALI0A09680g,no_change,
YALI0A09702g,no_change,
YALI0A09724g,no_change,
YALI0A09746g,highly_expressed_gene,
YALI0A09768g,highly_expressed_gene,
YALI0A09790g,no_change,
YALI0A09812g,lowly_expressed_gene,
YALI0A09834g,no_change,
YALI0A09845g,no_change,
YALI0A09856g,downregulated,
YALI0A09878g,no_change,
YALI0A09900g,no_change,
YALI0A09922g,no_change,
YALI0A09933g,no_change,
YALI0A09951s,no_change,
YALI0A09969t,no_change,
YALI0A09988g,no_change,
YALI0A10010g,no_change,
YALI0A10032g,downregulated,
YALI0A10054t,no_change,
YALI0A10076g,no_change,
YALI0A10098g,downregulated,
YALI0A10120g,no_change,
YALI0A10142g,no_change,
YALI0A10164g,no_change,
YALI0A10186g,no_change,
YALI0A10208g,no_change,
YALI0A10230g,no_change,
YALI0A10252g,highly_expressed_gene,
YALI0A10274g,no_change,
YALI0A10296g,downregulated,
YALI0A10310g,no_change,
YALI0A10318g,no_change,
YALI0A10340r,no_change,
YALI0A10362g,no_change,
YALI0A10378t,no_change,
YALI0A10395g,no_change,
YALI0A10417t,no_change,
YALI0A10439g,no_change,
YALI0A10461g,no_change,
YALI0A10483g,no_change,
YALI0A10505r,no_change,
YALI0A10516g,no_change,
YALI0A10527g,no_change,
YALI0A10549g,no_change,
YALI0A10571g,no_change,
YALI0A10593g,no_change,
YALI0A10615g,lowly_expressed_gene,
YALI0A10637g,lowly_expressed_gene,Transcription_Factor
YALI0A10659g,no_change,
YALI0A10681g,lowly_expressed_gene,
YALI0A10703g,no_change,
YALI0A10725g,no_change,
YALI0A10747g,lowly_expressed_gene,
YALI0A10769g,no_change,
YALI0A10813g,no_change,
YALI0A10835r,no_change,
YALI0A10879g,no_change,
YALI0A10890r,no_change,
YALI0A10901g,no_change,
YALI0A10945g,no_change,
YALI0A10967g,no_change,
YALI0A10989g,downregulated,
YALI0A11011g,no_change,
YALI0A11022g,no_change,
YALI0A11033r,no_change,
YALI0A11077g,no_change,
YALI0A11099g,no_change,
YALI0A11121g,no_change,
YALI0A11143g,no_change,
YALI0A11157g,no_change,
YALI0A11198g,no_change,Mutated_Gene
YALI0A11220g,no_change,
YALI0A11242r,no_change,
YALI0A11286g,no_change,
YALI0A11363r,no_change,
YALI0A11407g,no_change,
YALI0A11429r,no_change,
YALI0A11473g,no_change,
YALI0A11495r,no_change,
YALI0A11517g,no_change,Transcription_Factor
YALI0A11539g,no_change,
YALI0A11550g,no_change,
YALI0A11561g,no_change,
YALI0A11583t,no_change,
YALI0A11605g,no_change,
YALI0A11627g,no_change,
YALI0A11638g,no_change,
YALI0A11649g,no_change,
YALI0A11671g,no_change,
YALI0A11693r,no_change,
YALI0A11737g,no_change,
YALI0A11759g,no_change,
YALI0A11781g,no_change,
YALI0A11803g,no_change,
YALI0A11847g,no_change,
YALI0A11869g,lowly_expressed_gene,
YALI0A11891g,no_change,
YALI0A11913t,no_change,
YALI0A11935g,no_change,
YALI0A11957r,no_change,
YALI0A12001g,no_change,
YALI0A12023g,no_change,
YALI0A12045g,no_change,
YALI0A12067g,highly_expressed_gene,
YALI0A12089g,no_change,
YALI0A12111g,no_change,
YALI0A12133g,highly_expressed_gene,
YALI0A12155g,highly_expressed_gene,
YALI0A12177g,no_change,
YALI0A12199g,no_change,
YALI0A12221g,no_change,
YALI0A12243g,no_change,
YALI0A12265g,no_change,
YALI0A12287g,no_change,
YALI0A12309r,no_change,
YALI0A12353g,lowly_expressed_gene,
YALI0A12375r,no_change,
YALI0A12419g,no_change,
YALI0A12441g,no_change,
YALI0A12452r,no_change,
YALI0A12463r,no_change,
YALI0A12507g,no_change,
YALI0A12529r,no_change,
YALI0A12573g,no_change,
YALI0A12595g,no_change,
YALI0A12617g,downregulated,
YALI0A12639r,no_change,
YALI0A12683g,no_change,
YALI0A12705g,no_change,
YALI0A12727r,no_change,
YALI0A12771r,no_change,
YALI0A12782r,no_change,
YALI0A12793r,no_change,
YALI0A12815g,no_change,
YALI0A12837g,no_change,
YALI0A12859r,no_change,
YALI0A12892t,no_change,
YALI0A12925g,no_change,Transcription_Factor
YALI0A12947r,no_change,
YALI0A12969g,changed_regulation,
YALI0A12991r,no_change,
YALI0A13002r,no_change,
YALI0A13013g,highly_expressed_gene,
YALI0A13035g,highly_expressed_gene,
YALI0A13057g,no_change,
YALI0A13079g,no_change,
YALI0A13101g,no_change,
YALI0A13123r,no_change,
YALI0A13167g,no_change,
YALI0A13189r,no_change,
YALI0A13233g,no_change,Mutated_Gene
YALI0A13255g,no_change,
YALI0A13277g,changed_regulation,
YALI0A13299g,no_change,
YALI0A13321g,no_change,
YALI0A13343r,no_change,
YALI0A13387g,no_change,
YALI0A13409r,no_change,
YALI0A13431r,no_change,
YALI0A13453r,no_change,
YALI0A13497g,no_change,
YALI0A13519g,no_change,
YALI0A13541g,no_change,
YALI0A13563g,no_change,
YALI0A13585g,no_change,
YALI0A13607g,no_change,
YALI0A13629r,no_change,
YALI0A13673g,no_change,
YALI0A13695g,no_change,
YALI0A13717r,no_change,
YALI0A13761r,no_change,
YALI0A13805r,no_change,
YALI0A13849g,no_change,
YALI0A13871r,no_change,
YALI0A13915g,no_change,
YALI0A13937g,no_change,
YALI0A13959r,no_change,
YALI0A14003r,no_change,
YALI0A14025r,no_change,
YALI0A14069g,no_change,
YALI0A14091r,no_change,
YALI0A14113r,no_change,
YALI0A14157g,no_change,
YALI0A14168r,no_change,
YALI0A14212g,changed_regulation,
YALI0A14234g,no_change,
YALI0A14256g,highly_expressed_gene,
YALI0A14278r,no_change,
YALI0A14322g,no_change,
YALI0A14344r,no_change,
YALI0A14366g,no_change,
YALI0A14388g,no_change,
YALI0A14410r,no_change,
YALI0A14454g,downregulated,
YALI0A14476g,downregulated,
YALI0A14498g,highly_expressed_gene,
YALI0A14520g,lowly_expressed_gene,
YALI0A14542g,no_change,
YALI0A14564g,no_change,
YALI0A14586g,no_change,
YALI0A14608g,downregulated,
YALI0A14630g,downregulated,
YALI0A14652r,no_change,
YALI0A14674g,no_change,
YALI0A14707g,downregulated,
YALI0A14740g,changed_regulation,
YALI0A14762g,no_change,
YALI0A14784g,upregulated,
YALI0A14806g,upregulated,
YALI0A14839g,no_change,
YALI0A14861g,no_change,
YALI0A14883g,downregulated,
YALI0A14894r,no_change,
YALI0A14905g,no_change,
YALI0A14927g,no_change,
YALI0A14949g,no_change,
YALI0A14971g,no_change,
YALI0A15026g,no_change,
YALI0A15059g,no_change,
YALI0A15081g,no_change,
YALI0A15103g,highly_expressed_gene,
YALI0A15125g,highly_expressed_gene,
YALI0A15147g,no_change,
YALI0A15169g,no_change,
YALI0A15191r,no_change,
YALI0A15213r,no_change,
YALI0A15257g,no_change,
YALI0A15279r,no_change,
YALI0A15323r,no_change,
YALI0A15334r,no_change,
YALI0A15345g,downregulated,
YALI0A15378g,no_change,
YALI0A15400g,highly_expressed_gene,
YALI0A15422g,no_change,
YALI0A15433g,lowly_expressed_gene,
YALI0A15444g,no_change,
YALI0A15466g,no_change,
YALI0A15488g,no_change,
YALI0A15510r,no_change,
YALI0A15554g,downregulated,
YALI0A15576g,no_change,
YALI0A15598g,no_change,
YALI0A15642g,no_change,Mutated_Gene
YALI0A15664r,no_change,
YALI0A15686g,no_change,
YALI0A15708g,no_change,
YALI0A15730r,no_change,
YALI0A15752g,no_change,
YALI0A15774g,lowly_expressed_gene,
YALI0A15796g,no_change,Mutated_Gene
YALI0A15818r,no_change,
YALI0A15862r,no_change,
YALI0A15884g,no_change,
YALI0A15906g,lowly_expressed_gene,
YALI0A15928r,no_change,
YALI0A15950g,no_change,
YALI0A15972g,no_change,
YALI0A15994r,no_change,
YALI0A16016g,no_change,
YALI0A16038g,no_change,
YALI0A16060g,changed_regulation,
YALI0A16082g,no_change,
YALI0A16104r,no_change,
YALI0A16126r,no_change,
YALI0A16148g,no_change,
YALI0A16170g,no_change,
YALI0A16192g,no_change,
YALI0A16207g,no_change,
YALI0A16214g,no_change,
YALI0A16247g,no_change,
YALI0A16291g,no_change,
YALI0A16313g,no_change,
YALI0A16335r,no_change,
YALI0A16379g,lowly_expressed_gene,
YALI0A16401g,no_change,
YALI0A16423g,no_change,
YALI0A16445g,no_change,
YALI0A16467g,no_change,
YALI0A16489g,no_change,
YALI0A16511g,no_change,
YALI0A16566g,no_change,
YALI0A16588g,downregulated,
YALI0A16599r,no_change,
YALI0A16610g,no_change,
YALI0A16632r,no_change,
YALI0A16676r,no_change,
YALI0A16698g,no_change,
YALI0A16720g,no_change,
YALI0A16753g,no_change,
YALI0A16775g,no_change,
YALI0A16797g,no_change,
YALI0A16819g,downregulated,
YALI0A16841g,no_change,Transcription_Factor
YALI0A16863g,no_change,
YALI0A16868g,no_change,
YALI0A16887t,no_change,
YALI0A16907r,no_change,
YALI0A16951r,no_change,
YALI0A16973r,no_change,
YALI0A17020g,downregulated,
YALI0A17039g,no_change,
YALI0A17061g,changed_regulation,
YALI0A17083r,no_change,
YALI0A17127g,no_change,
YALI0A17149g,no_change,
YALI0A17171g,no_change,
YALI0A17193g,no_change,
YALI0A17215g,no_change,
YALI0A17237g,no_change,
YALI0A17259g,no_change,
YALI0A17281g,no_change,
YALI0A17292g,no_change,
YALI0A17314g,no_change,
YALI0A17336g,no_change,
YALI0A17358g,no_change,
YALI0A17380g,highly_expressed_gene,
YALI0A17402r,no_change,
YALI0A17424g,no_change,
YALI0A17446g,no_change,
YALI0A17468g,upregulated,
YALI0A17490g,no_change,
YALI0A17512g,no_change,
YALI0A17534g,no_change,
YALI0A17556g,no_change,
YALI0A17578g,lowly_expressed_gene,
YALI0A17600g,no_change,
YALI0A17622r,no_change,
YALI0A17666g,no_change,
YALI0A17688r,no_change,
YALI0A17710r,no_change,
YALI0A17754r,no_change,
YALI0A17776g,no_change,Mutated_Gene
YALI0A17802g,no_change,
YALI0A17809g,no_change,
YALI0A17831g,highly_expressed_gene,
YALI0A17853g,no_change,Mutated_Gene
YALI0A17875g,no_change,
YALI0A17897g,no_change,
YALI0A17919g,no_change,
YALI0A17941g,no_change,
YALI0A17946g,no_change,
YALI0A17963g,no_change,
YALI0A17974r,no_change,
YALI0A17985g,lowly_expressed_gene,
YALI0A18007g,no_change,
YALI0A18029g,changed_regulation,
YALI0A18040g,no_change,
YALI0A18062g,downregulated,
YALI0A18073r,no_change,
YALI0A18084r,no_change,
YALI0A18139g,no_change,
YALI0A18161g,downregulated,
YALI0A18183g,downregulated,
YALI0A18205g,no_change,
YALI0A18227g,no_change,
YALI0A18249g,no_change,
YALI0A18271g,downregulated,
YALI0A18293g,no_change,
YALI0A18315g,no_change,
YALI0A18337g,no_change,
YALI0A18359g,no_change,
YALI0A18381g,lowly_expressed_gene,Mutated_Gene
YALI0A18403g,no_change,
YALI0A18425g,no_change,
YALI0A18447g,no_change,
YALI0A18469g,no_change,Transcription_Factor
YALI0A18524g,no_change,
YALI0A18546g,no_change,
YALI0A18568g,no_change,
YALI0A18590g,no_change,Mutated_Gene
YALI0A18612g,no_change,
YALI0A18634g,no_change,
YALI0A18656g,no_change,
YALI0A18678g,no_change,
YALI0A18700g,no_change,
YALI0A18722g,no_change,
YALI0A18744g,downregulated,
YALI0A18766g,no_change,
YALI0A18788g,no_change,
YALI0A18810g,no_change,
YALI0A18832g,no_change,
YALI0A18854r,no_change,
YALI0A18898g,no_change,
YALI0A18920g,no_change,
YALI0A18942g,no_change,
YALI0A18964g,no_change,
YALI0A18986g,no_change,
YALI0A19008g,downregulated,
YALI0A19030g,no_change,
YALI0A19052g,no_change,
YALI0A19074g,no_change,
YALI0A19096g,highly_expressed_gene,
YALI0A19118g,no_change,
YALI0A19140g,highly_expressed_gene,
YALI0A19162g,no_change,
YALI0A19184g,no_change,
YALI0A19206g,lowly_expressed_gene,
YALI0A19228g,no_change,
YALI0A19250g,no_change,
YALI0A19272g,highly_expressed_gene,
YALI0A19316g,no_change,
YALI0A19338g,no_change,
YALI0A19360g,lowly_expressed_gene,
YALI0A19404g,lowly_expressed_gene,
YALI0A19426g,no_change,
YALI0A19448g,no_change,
YALI0A19470g,no_change,
YALI0A19492g,no_change,
YALI0A19514g,no_change,
YALI0A19536g,no_change,
YALI0A19558g,no_change,
YALI0A19580g,no_change,
YALI0A19602g,lowly_expressed_gene,
YALI0A19624g,lowly_expressed_gene,
YALI0A19646g,no_change,
YALI0A19668g,no_change,
YALI0A19690g,no_change,
YALI0A19712g,no_change,
YALI0A19734g,no_change,
YALI0A19756g,no_change,
YALI0A19778g,lowly_expressed_gene,Transcription_Factor
YALI0A19800g,no_change,
YALI0A19822g,no_change,
YALI0A19844g,downregulated,
YALI0A19866g,no_change,
YALI0A19888g,no_change,
YALI0A19910g,highly_expressed_gene,
YALI0A19932g,highly_expressed_gene,
YALI0A19954g,no_change,
YALI0A19976g,highly_expressed_gene,
YALI0A19998g,downregulated,
YALI0A20020g,no_change,
YALI0A20064g,downregulated,
YALI0A20086g,no_change,
YALI0A20108g,no_change,
YALI0A20130g,no_change,
YALI0A20152g,no_change,
YALI0A20174g,no_change,
YALI0A20207g,changed_regulation,
YALI0A20229r,no_change,
YALI0A20273g,no_change,
YALI0A20295g,lowly_expressed_gene,
YALI0A20328g,no_change,
YALI0A20350g,upregulated,
YALI0A20372g,downregulated,
YALI0A20394g,highly_expressed_gene,
YALI0A20416g,no_change,
YALI0A20438g,highly_expressed_gene,
YALI0A20460g,no_change,
YALI0A20482g,no_change,
YALI0A20504g,no_change,
YALI0A20518g,no_change,
YALI0A20526g,no_change,
YALI0A20548g,no_change,
YALI0A20570g,highly_expressed_gene,
YALI0A20592g,highly_expressed_gene,
YALI0A20614g,highly_expressed_gene,
YALI0A20636g,no_change,
YALI0A20658g,changed_regulation,
YALI0A20680g,upregulated,
YALI0A20702g,no_change,
YALI0A20724g,no_change,
YALI0A20746g,no_change,
YALI0A20768g,no_change,
YALI0A20790g,highly_expressed_gene,
YALI0A20812g,no_change,
YALI0A20834g,no_change,
YALI0A20867g,no_change,
YALI0A20900g,lowly_expressed_gene,
YALI0A20922g,no_change,
YALI0A20944g,highly_expressed_gene,
YALI0A20966g,no_change,
YALI0A20988g,no_change,
YALI0A21010g,no_change,
YALI0A21032g,no_change,
YALI0A21076g,no_change,
YALI0A21098g,no_change,
YALI0A21120g,no_change,
YALI0A21131g,no_change,
YALI0A21153g,no_change,
YALI0A21175g,no_change,
YALI0A21197g,highly_expressed_gene,
YALI0A21219t,no_change,
YALI0A21241g,no_change,Transcription_Factor
YALI0A21263g,no_change,
YALI0A21285g,lowly_expressed_gene,
YALI0A21307g,changed_regulation,
YALI0A21330g,no_change,
YALI0A21351g,no_change,
YALI0A21373g,lowly_expressed_gene,
YALI0A21395g,no_change,
YALI0A21417g,highly_expressed_gene,
YALI0A21439g,highly_expressed_gene,
YALI0A21461g,highly_expressed_gene,
YALI0A21483t,no_change,
YALI0B00110g,no_change,
YALI0B00132g,no_change,
YALI0B00154g,no_change,
YALI0B00176r,no_change,
YALI0B00198g,no_change,
YALI0B00220g,no_change,
YALI0B00242t,no_change,
YALI0B00264g,no_change,
YALI0B00286g,no_change,
YALI0B00308g,no_change,
YALI0B00330r,no_change,
YALI0B00352r,no_change,
YALI0B00374g,no_change,
YALI0B00396g,no_change,
YALI0B00418g,no_change,
YALI0B00440g,no_change,
YALI0B00462g,highly_expressed_gene,
YALI0B00484r,no_change,
YALI0B00528g,no_change,
YALI0B00550g,no_change,
YALI0B00572g,no_change,
YALI0B00594g,no_change,
YALI0B00605g,no_change,
YALI0B00616g,no_change,
YALI0B00638g,changed_regulation,
