Q6NT21,KRT86
Q6NT21,SERPINA7
RSM25,CFI
RSM25,SERPINA7
CBP4,FPR3
RSE1,SEC24
RSE1,ISU1
RSE1,Krt6a
RSE1,TSC10
RSE1,RRI1
RSE1,YTH1
RSE1,KU70
RSE1,Krt83
RSE1,CFI
RSE1,IRS4
RSE1,ENSEMBL:ENSBTAP00000024146
RSE1,PEX16
RSE1,SERPINA7
HIR3,PEX16
Krt6a,COX23
Krt6a,set-2
Krt6a,IRS4
Krt6a,PEX16
FPR3,Krt83
FPR3,CFI
CFI,THI4
CFI,Krt83
CFI,PEX16
YTH1,PEX16
KRT81,KRT86
KRT81,SERPINA7
Krt83,SERPINA7
RRI1,PEX16
KRT86,SERPINA7
YALI0B21846g,THI4
YALI0B21846g,SERPINA7
ENSEMBL:ENSBTAP00000001528,MEF1
ENSEMBL:ENSBTAP00000001528,SERPINA7
set-2,IRS4
COX23,PEX16
PEX16,ISU1
PEX16,IPK1
PEX16,KRT6A
PEX16,IRS4
PEX16,ENSEMBL:ENSBTAP00000024146
IPK1,SERPINA7
MRH4,SERPINA7
ISU1,SERPINA7
SERPINA7,IRS4
